name,price,image1,image2,image3,image4,status
Nike Air Force 1 '07,43000,/public/shoes/nike_air_force_1/1.jpg,/public/shoes/nike_air_force_1/2.jpg,/public/shoes/nike_air_force_1/3.jpg,/public/shoes/nike_air_force_1/4.jpg,IN STOCK NOW!
Nike Air Max 17',44000,/public/shoes/air_max_2017/1.jpg,/public/shoes/air_max_2017/2.jpg,/public/shoes/air_max_2017/3.jpg,/public/shoes/air_max_2017/4.jpg,IN STOCK NOW!
Nike Downshifter 13,32000,/public/shoes/downshifter_13/1.jpg,/public/shoes/downshifter_13/2.jpg,/public/shoes/downshifter_13/3.jpg,/public/shoes/downshifter_13/4.jpg,IN STOCK NOW!
Nike Victori One,17000,/public/shoes/victori_1/1.jpg,/public/shoes/victori_1/2.jpg,/public/shoes/victori_1/3.jpg,/public/shoes/victori_1/4.jpg,IN STOCK NOW!
